fedid,name,ligue,zip,city,outdoor,indoor,countPlayers,countPlayers1AN,countTeams,countTeams1AN,school
01670102,T C SELTZ,BAS RHIN,67470,SELTZ,5,2,111,124,7,20,Oui
01670153,T.C. DETTWILLER,BAS RHIN,67490,DETTWILLER,4,0,30,36,1,4,Oui
01670303,NIEDERSCHAEFFOLSHEIM T.C.,BAS RHIN,67500,NIEDERSCHAEFFOLSHEIM,2,0,30,48,2,9,Oui
01670316,KUTTOLSHEIM TENNIS CLUB,BAS RHIN,67520,KUTTOLSHEIM,2,0,7,7,0,0,Oui
01670206,OTTROTT TENNIS CLUB,BAS RHIN,67530,OTTROTT,2,0,35,74,1,5,Oui
01670109,TC VENDENHEIM,BAS RHIN,67550,VENDENHEIM,6,2,203,211,11,35,Oui
01670107,T.C. MERTZWILLER,BAS RHIN,67580,MERTZWILLER,3,2,136,133,8,19,Oui
01670283,SC INA ROULEMENTS HAGUENAU,BAS RHIN,67590,SCHWEIGHOUSE,0,0,0,9,0,6,Oui
01670243,TENNIS CLUB EBERSHEIM,BAS RHIN,67600,EBERSHEIM,2,1,58,99,1,8,Oui
01670022,TENNIS DES REMPARTS SELESTAT,BAS RHIN,67600,SELESTAT,7,2,258,361,6,19,Oui
01670353,LANXESS EMULSION RUBBER,BAS RHIN,67610,LA WANTZENAU,2,0,4,4,0,3,Non
01670047,T.C. LAUTERBOURG,BAS RHIN,67630,LAUTERBOURG,3,1,100,120,4,8,Oui
01670071,T.C. FEGERSHEIM,BAS RHIN,67640,FEGERSHEIM,4,3,198,239,5,18,Oui
01670090,AS BETSCHDORF,BAS RHIN,67660,BETSCHDORF,4,0,92,139,7,13,Oui
01670130,T.C.HATTEN,BAS RHIN,67690,HATTEN,2,1,73,77,5,11,Oui
01670165,T.C. MONSWILLER,BAS RHIN,67700,MONSWILLER,2,0,4,15,0,1,Oui
01670260,TENNIS CLUB OTTERSWILLER,BAS RHIN,67700,OTTERSWILLER,2,0,27,38,1,3,Oui
01670084,T.C.CENTRE CULTUREL DE HOERDT,BAS RHIN,67720,HOERDT,4,2,103,114,5,17,Oui
01670272,M.J.C. TENNIS SCHERWILLER,BAS RHIN,67750,SCHERWILLER,2,1,44,59,2,10,Oui
01670188,T.C.SSD SESSENHEIM,BAS RHIN,67770,SESSENHEIM,2,1,34,33,0,4,Oui
01670343,TC HOENHEIM,BAS RHIN,67800,HOENHEIM,6,1,93,87,5,11,Oui
01670058,T.C. HERRLISHEIM,BAS RHIN,67850,HERRLISHEIM,3,1,101,114,4,13,Oui
01670207,TENNIS CLUB RHINAU,BAS RHIN,67860,RHINAU,4,1,95,111,5,15,Oui
01670315,KRAUTERGERSHEIM TENNIS CLUB,BAS RHIN,67880,KRAUTERGERSHEIM,2,0,6,51,1,2,Oui
01670248,ENTZHEIM TENNIS CLUB,BAS RHIN,67960,ENTZHEIM,2,0,53,67,3,8,Oui
01670304,T.C. OSTHOFFEN,BAS RHIN,67990,OSTHOFFEN,2,1,54,61,3,11,Oui
01680113,ASPAL HORBOURG,HAUT RHIN,68000,HORBOURG WIHR,3,0,21,24,1,2,Oui
01680081,A.S. ILLZACH MODENHEIM,HAUT RHIN,68110,ILLZACH,4,2,172,239,7,16,Oui
01680222,TENNIS CLUB GUEWENHEIM,HAUT RHIN,68116,GUEWENHEIM,2,0,22,28,3,6,Non
01680142,T.C.DES GENETS RICHWILLER,HAUT RHIN,68120,RICHWILLER,4,1,22,38,0,1,Oui
